id,state,name,resolutionStatus,resolutionVersion,relatedActiveOrPendingRecord,leadType,likelyLayer,status,reasonRemoved,notes
sd-v23190-lead-memorial-park-campground,SD,Memorial Park Campground,promoted_active,v23.1.94,sd-v23194-memorial-park-campground,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 3 return.
sd-v23190-lead-split-rock-park-campground,SD,Split Rock Park Campground,resolved_existing_corrected,v23.1.94,sd-split-rock-park-campground-v23151,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,move___correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Split Rock Park row corrected to Modern.
sd-v23190-lead-lake-mitchell-campground,SD,Lake Mitchell Campground,resolved_existing_corrected,v23.1.94,sd-lake-mitchell-campground-v23151,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,move___correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Lake Mitchell row corrected to Modern.
sd-v23190-lead-white-lake-lodge-and-rv-campground,SD,White Lake Lodge & RV Campground,promoted_active,v23.1.94,sd-v23194-white-lake-lodge-rv-campground,sd_public_discovery_coordinate_or_correction_rescue_v23190,Private Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 3 return.
mi-v23192-lead-au-train-lake-campground,MI,Au Train Lake Campground,promoted_active,v23.1.94,mi-v23194-au-train-lake-campground,up_public_discovery_coordinate_or_correction_rescue_v23192,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 1 return.
mi-v23192-lead-colwell-lake-campground-layer-audit,MI,Colwell Lake Campground layer audit,resolved_existing_corrected,v23.1.94,s205,up_public_discovery_coordinate_or_correction_rescue_v23192,Needs Verification,proof_or_policy_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Colwell Lake row corrected.
mi-v23192-lead-little-bay-de-noc-campground,MI,Little Bay De Noc Campground,promoted_active,v23.1.94,mi-v23194-little-bay-de-noc-campground,up_public_discovery_coordinate_or_correction_rescue_v23192,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 1 return.
mi-v23192-lead-fox-river-state-forest-campground,MI,Fox River State Forest Campground,resolved_existing_corrected,v23.1.94,s315,up_public_discovery_coordinate_or_correction_rescue_v23192,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Fox River row corrected.
mi-v23192-lead-reed-and-green-bridge-state-forest-campground,MI,Reed & Green Bridge State Forest Campground,promoted_active,v23.1.94,mi-v23194-reed-green-bridge-sfcg,up_public_discovery_coordinate_or_correction_rescue_v23192,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 1 return.
mi-v23192-lead-carp-river-campground,MI,Carp River Campground,resolved_existing_corrected,v23.1.94,s166,up_public_discovery_coordinate_or_correction_rescue_v23192,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Carp River row corrected.
