id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
ar-v74-agfc-nw-ozarks-wma-designated-camping-geometry,AR,AGFC northwest Ozarks WMA designated/primitive camping geometry,Northwest / north-central Arkansas WMAs,geometry_extraction,Boondocking / Dispersed,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,AGFC WMA camping rules and relevant WMAs identified; campsite geometries not extracted.,Extract AGFC maps/GIS/designated camping-area coordinates; do not use WMA centroids.,,v23.1.74,
ar-poison-springs-state-forest-wma-designated-camping,AR,Poison Springs WMA / State Forest Designated Primitive Campsites,Ouachita / Nevada / Clark spillover,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC + AGFC maps source,Official permit/designated-site proof; exact campsite geometry blocked,permit_geometry_rescue; Do not use WMA tract centers or state forest center. Permit language must be visible in popup if imported.; Checked AGFC WMA page and AGFC map index. No exact campsite coordinate available from parsed page text.,Keep/update geometry lead,,v23.1.75,"Yes — acquire Poison Springs WMA map pages 1–5 from AGFC maps, inspect for campsite symbols, or contact Arkansas Forestry Commission at the campsite permit/reservation number"
ar_ouachita_fr132_winona_corridor_lead,AR,Forest Service Road 132 / Winona Scenic Drive dispersed corridor,Ouachita NF / Winona Scenic Drive,boondocking_social_app_lead,Boondocking / Dispersed,corridor_lead,High,Public app cluster + USFS rule check,BROAD CORRIDOR ONLY / no honest single point,"Multiple public-facing FR132/Winona-area dispersed listings exist, but the evidence is a corridor/cluster rather than a single import-safe site.",Run Ouachita MVUM + same-spot clustering pass; add only exact/tight Community Reported points or official legal-road area markers. Do not create one fake corridor-center pin.,,v23.1.82,Worker 5 Round 2 reported 5+ broad public reports and USFS dispersed-camping framework.
ar-v74-bayou-bluff-camping-status-check,AR,Bayou Bluff Recreation Area camping status,Ozark NF,coordinate_rescue,Needs Verification,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,USFS says upper loop is closed to camping and current allowed overnight area is unclear.,Confirm current overnight camping status and allowed loop/area with USFS before active import.,,v23.1.74,
ar-v74-ozark-st-francis-nf-dispersed-mvum-geometry,AR,Ozark-St. Francis NF dispersed camping / MVUM rule area,Ozark NF / north Arkansas,geometry_extraction,Boondocking / Dispersed,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Legal dispersed camping rules exist but no honest single point.,Extract MVUM/forest boundary/developed-site exclusions; create area/rule geometry or marker only with warning.,,v23.1.74,
ar-lead-ozark-st-francis-nf-dispersed-camping-mvum-geometry,AR,Ozark-St. Francis NF dispersed camping / MVUM rule-area geometry,Ozark NF north/Ozark units,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official USFS,No honest single point,"geometry lead; No safe active point. Forest centroid would be junk.; Extract current Big Piney, Boston Mountain, Sylamore, and Wedington MVUMs; QGIS/GDAL or GeoPDF handling needed",Keep/update geometry lead; do not promote as point.,,v23.1.75,Yes
ar-v74-lake-sylvia-source-layer-correction,AR,Lake Sylvia Recreational Area / Camp Ouachita source-layer correction,Perry / Ouachita NF,coordinate_rescue,Modern or Rustic pending proof,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Legacy row likely has stale source/layer labels.,Recheck official Lake Sylvia/USFS/Recreation.gov source and correct existing row rather than duplicate.,,v23.1.74,
ar-nimrod-lloyd-millwood-wma-designated-campsite-check,AR,Nimrod Lloyd Millwood WMA Designated Campsite Geometry Check,Perry / Yell / Nimrod Lake source-system spillover,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC + AGFC maps source,Official text mentions designated campsites in access exceptions; no standalone camping section found,weak_geometry_lead; This should stay weaker than the other AGFC rows until camping availability is directly confirmed.; Checked AGFC page and map index. The public page does **not** cleanly say “camping is available” the way Sulphur/Lafayette/etc. do.,"Keep/update as geometry/status-check lead, not active",,v23.1.75,Yes — inspect AGFC PDFs and Corps Nimrod maps; confirm actual campsite symbols before import
ar-lead-mississippi-river-sp-storm-creek-bikein-tent-sites,AR,Storm Creek Lake Campground — Bike-in / Small Tent Sites 38–40,Phillips / Storm Creek Lake,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official state park page + official PDF map,"Official ASP page + MRSP map; high proof, coordinate not safely extracted",Official proof; component split needed; Layer is not Modern despite electricity because access is bike-in/walk-in component and no full modern triad for these individual sites.; Need exact site coordinates or at least campground subarea coordinate from reservation metadata/map georeference.,Split as separate non-modern component if active.,,v23.1.75,YES — ReserveArkansas site metadata / QGIS map georeference
ar-lead-mississippi-river-sp-storm-creek-lake-campground-coordinate-rescue,AR,Storm Creek Lake Campground — Sites 32–45,Phillips / Storm Creek Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official state park page + official PDF map,"Official ASP page + MRSP map; high proof, coordinate not safely extracted",Official proof; coordinate blocked; Strong active candidate once coordinate is safe.; ReserveArkansas page blocked by 403; MRSP map has no parsed coordinates and screenshot cache failed.,Extract coordinate and promote to Modern.,,v23.1.75,YES — reservation metadata / GIS / map georeference
ar-lake-greeson-wma-designated-camping-distinction,AR,Lake Greeson WMA Designated Campsites / Corps Campground Distinction,Pike / Howard / Lake Greeson,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC,Official designated-site proof; exact WMA campsite geometry blocked,geometry_rescue / duplicate_guard; This is mainly a geometry/duplicate-guard lead. Corps campgrounds should stay separate Modern/Rustic campground records.; Checked AGFC page. Do not confuse WMA designated campsites with Corps campgrounds like Parker Creek.,Keep/update lead,,v23.1.75,Yes — AGFC Lake Greeson WMA map/GIS should separate WMA campsite symbols from Corps campground records
ar-lake-greeson-buckhorn-coordinate-rescue,AR,Buckhorn Campground — Lake Greeson USACE,Pike / Lake Greeson,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class D component; coordinate blocked; Same-system non-modern component.; Acquisition path: official map/RIDB/address-imagery check.,Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-cowhide-cove-coordinate-rescue,AR,Cowhide Cove Campground — Lake Greeson USACE,Pike / Lake Greeson,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked; address-map check not completed,"Official USACE campground proof; address only, coordinate not extracted; Named Lake Greeson target.; Acquisition path: Recreation.gov/RIDB, USACE map, or address/imagery check landing on campground loop.",Add durable lead; promote with verified coordinate.,,v23.1.75,Yes
ar-lake-greeson-laurel-creek-coordinate-rescue,AR,Laurel Creek Campground — Lake Greeson USACE,Pike / Lake Greeson,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class D component; coordinate blocked; Same-system non-modern component.; Acquisition path: official map/RIDB/address-imagery check.,Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-pikeville-coordinate-rescue,AR,Pikeville Campground — Lake Greeson USACE,Pike / Lake Greeson,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class D component; coordinate blocked; Same-system non-modern component.; Acquisition path: official map/RIDB/address-imagery check.,Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-rock-creek-primitive-coordinate-rescue,AR,Rock Creek Primitive Campground — Lake Greeson USACE,Pike / Lake Greeson,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Official primitive campground proof; coordinate blocked; Good non-modern primitive target.; Acquisition path: USACE map/RIDB/GeoPDF/QGIS; likely gravel access.,Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-self-creek-jim-wylie-coordinate-rescue,AR,Self Creek / Jim Wylie Campground — Lake Greeson USACE,Pike / Lake Greeson / Daisy,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,"Official USACE campground proof; address only, coordinate not extracted; Named target.; Acquisition path: Recreation.gov/RIDB or address/imagery check.",Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-bear-creek-coordinate-rescue,AR,Bear Creek Campground — Lake Greeson USACE,Pike / Lake Greeson / Kirby,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,"Official USACE Class D campground proof; address only, coordinate not extracted; Named non-modern target.; Acquisition path: USACE map/RIDB/address-imagery; keep separate from Bear Creek Trail.",Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-kirby-landing-coordinate-rescue,AR,Kirby Landing Campground — Lake Greeson USACE,Pike / Lake Greeson / Kirby,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,"Official USACE campground proof; address only, coordinate not extracted; Named target.; Acquisition path: Recreation.gov/RIDB or address/imagery check.",Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-parker-creek-coordinate-rescue,AR,Parker Creek Campground — Lake Greeson USACE,Pike / Lake Greeson / Murfreesboro,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,"Official USACE campground proof; address only, coordinate not extracted; Named target.; Acquisition path: Recreation.gov/RIDB or address/imagery check.",Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-dam-area-campground-coordinate-rescue,AR,Dam Area Campground — Lake Greeson USACE,Pike / Lake Greeson / Narrows Dam area,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class A component; coordinate blocked; Same-system component exposed by official page.; Acquisition path: Recreation.gov/RIDB/map extraction; avoid dam proxy.,Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-arrowhead-point-coordinate-rescue,AR,Arrowhead Point Campground — Lake Greeson USACE,Pike / Lake Greeson / New Hope,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class C component; coordinate blocked; Same-system non-modern component.; Acquisition path: official map/RIDB/address-imagery check.,Add durable lead.,,v23.1.75,Yes
ar-lake-greeson-star-of-the-west-coordinate-rescue,AR,Star of the West Campground — Lake Greeson USACE,Pike / Lake Greeson / Newhope,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class D component; coordinate blocked; Same-system non-modern component.; Acquisition path: official map/RIDB/address-imagery check.,Add durable lead.,,v23.1.75,Yes
ar-v74-southwest-agfc-wma-designated-camping-geometry,AR,South/Southwest Arkansas AGFC WMA designated camping geometry bundle,Poison Springs / Lafayette / Lower Ouachita / Sulphur River / Big Timber / Lake Greeson / Howard County WMAs,geometry_extraction,Boondocking / Dispersed,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Official AGFC/State Forest proof identifies designated/permit primitive camping but coordinates are blocked.,Extract AGFC WMA maps/GIS/permit packets and designated campsite coordinates; no WMA centroids.,,v23.1.74,
ar-beryl-anthony-lower-ouachita-wma-two-primitive-campsites,AR,Beryl Anthony Lower Ouachita WMA Two Primitive Campsites,Union / Ashley / Lower Ouachita River,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC,Official two-campsite proof; exact points blocked,"geometry_rescue; This is a good exact-coordinate target, but not enough to fake two points from text alone.; Checked AGFC WMA page and Felsenthal/Beryl map context; no exact campsite coordinates parsed.",Keep/update lead,,v23.1.75,Yes — extract from AGFC Beryl Anthony Lower Ouachita WMA map or agency GIS; look specifically along west-side access road
ar-v74-white-river-nwr-camping-regulations,AR,Dale Bumpers White River NWR camping regulations extraction,White River NWR,coordinate_rescue,Boondocking / Dispersed or Reject pending rules,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,FWS regulations PDF/access map needed; parsed page did not expose camping rule text.,Extract FWS public-use regulations and access map; add components if allowed or rejected trap if prohibited.,,v23.1.74,
mo-lead-mark-twain-nf-mvum-dispersed-camping-geometry,MO,Mark Twain NF dispersed camping / MVUM geometry,Assigned MTNF districts,coordinate_rescue,Boondocking / Dispersed,coordinate_rescue,High,USDA / USFS,NO HONEST ACTIVE COORDINATE ACCEPTED,This is not a campground pin task; needs geometry,Add lead,,v23.1.70,
mo-w8-lakeview-campground-mexico,MO,Lakeview Campground / Lakeview Park,Audrain / Mexico,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official city,NO HONEST ACTIVE COORDINATE ACCEPTED,No shower proof; keep Rustic/Primitive.,Add after coordinate rescue,,v23.1.70,
mo_three_creeks_ca_walk_in_primitive_camping,MO,Three Creeks Conservation Area walk-in primitive camping,Boone,boondocking_social_app_lead,Boondocking / Dispersed or Boat / Backpack depending access,needs_verification,High,Official MDC + public app conflict check,OFFICIAL PROOF WITH SIGNAGE CONFLICT / no point,"MDC brochure supports walk-in primitive camping, but public reports mention prior no-camping sign confusion; exact sites not extracted.",Verify current MDC map/signage and extract official designated site/area geometry; do not use parking lot or CA centroid.,,v23.1.82,Needs verification before active.
mo-w8-hart-creek-ca-katy-trail-primitive,MO,Hart Creek Conservation Area primitive camping area,Boone / Howard edge,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,"Treat as trail-access primitive, not vehicle campground.",Add lead,,v23.1.70,
mo-lead-ha-ha-tonka-backpacking-geometry-coordinate-rescue,MO,Ha Ha Tonka State Park Backpacking / Backcountry Camping,Camden,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not create fake Ha Ha Tonka pin from park centroid,Resolve exact designated site/area,,v23.1.70,
mo-lead-lake-ozarks-woodland-trail-backcountry-site-coordinate-rescue,MO,Lake of the Ozarks Woodland Trail Backcountry Site,Camden / Lake of the Ozarks SP,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good Boat/Backpack lead, but coordinate honesty blocks active add",Coordinate rescue,,v23.1.70,
mo-lead-mdc-current-river-ca-primitive-camping,MO,Current River Conservation Area primitive camping,Carter/Reynolds/Shannon,coordinate_rescue,Boondocking / Dispersed,coordinate_rescue,High,MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong lead but no honest exact pin yet,Add lead,,v23.1.70,
mo-lead-mdc-peck-ranch-ca-designated-primitive-camps,MO,Peck Ranch Conservation Area designated primitive camps,Carter/Shannon/Reynolds area,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good non-modern candidate, but not yet a safe point",Add lead,,v23.1.70,
mo-future-cobb-ridge-recreation-area,MO,Cobb Ridge Recreation Area,Christian / Chadwick area,out_of_scope_future_lead,Rustic / Primitive,future_lead,High,USDA / USFS,NO HONEST ACTIVE COORDINATE ACCEPTED,Christian County/Chadwick is outside this W6 southeast/river lock,Park for W7/southwest worker,,v23.1.70,
mo-w8-binder-park-rv-campground,MO,Binder Park RV Campground,Cole / Jefferson City edge,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official city,NO HONEST ACTIVE COORDINATE ACCEPTED,No shower proof found; not Modern under strict rule.,Add after coordinate rescue,,v23.1.70,
mo-v73-mdc-primitive-designated-camping-geometry-batch,MO,MDC primitive/designated/open camping geometry batch,"Danville, Atlanta, Hidden Hollow, Rebel’s Cove, Thomas Hill, Deer Ridge, Hart Creek, Current River, Peck Ranch",coordinate_rescue,Rustic / Primitive / Boondocking / Boat-Backpack,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.","Extract MDC official maps/GIS points or boundaries; do not use conservation-area centroids, parking lots, or boat accesses.",,v23.1.73,
mo_pony_express_lake_ca_primitive_camping_geometry,MO,Pony Express Lake Conservation Area primitive camping areas,DeKalb / Clinton area,boondocking_social_app_lead,Boondocking / Dispersed or Rustic / Primitive pending MDC site geometry,official_designated_geometry_lead,High,Official MDC + public discovery,OFFICIAL MAP/GIS SYMBOLS BLOCKED,"MDC official map/brochure identifies primitive camping areas, but exact coordinates were not extracted.",Extract MDC Camping Sites GIS points or georeferenced official map symbols before active import.,,v23.1.82,Worker 5/6 both flagged as strong official-designated geometry target.
mo_mdc_pony_express_lake_ca_primitive_camping_gis,MO,Pony Express Lake Conservation Area primitive camping,DeKalb / Clinton region,coordinate_rescue,Boondocking / Dispersed or Rustic / Primitive pending GIS,coordinate_rescue,High,,,"MDC designated-camping proof plus 3+ public overnight reports, but exact designated camping coordinate is blocked.",Pull MDC camping-site GIS point or official map coordinate.,,v23.1.79,
mo-v73-berry-bend-usace-coordinate-rescue,MO,Berry Bend Campground,Harry S. Truman Lake / Benton County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Extract RIDB/API facility coordinate or official campground map; do not use Truman Road/project-style proxy.,,v23.1.73,
mo-v73-long-shoal-usace-coordinate-rescue,MO,Long Shoal Campground,Harry S. Truman Lake / Benton County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Pull RIDB/API/devtools facility coordinate or georeference official campground map.,,v23.1.73,
mo-v73-sparrowfoot-usace-coordinate-rescue,MO,Sparrowfoot Campground,Harry S. Truman Lake / Henry County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Pull RIDB/API or official campground map coordinate; current proof confirms active facility.,,v23.1.73,
mo-lead-mdc-cross-timbers-access-parking-camping-coordinate-rescue,MO,Cross Timbers Access Camping Area,Hickory / Pomme de Terre River,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,This is exactly the kind of non-obvious primitive camping old searches missed,"Coordinate rescue, then add as Rustic/Primitive",,v23.1.70,
mo-lead-taum-sauk-mountain-sp-basic-walk-in,MO,Taum Sauk Mountain State Park basic walk-in campground,Iron/Reynolds / St. Francois Mountains,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Good non-modern state park miss,Add lead,,v23.1.70,
mo-lead-knob-noster-mcadoo-backpack-camps-coordinate-rescue,MO,Knob Noster McAdoo Trail Backpack Camps,Johnson,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Non-modern missed state-park subcomponent,Coordinate rescue,,v23.1.70,
mo-w8-deer-ridge-ca-horse-camp,MO,Deer Ridge Conservation Area horse camp,Lewis / Clark region,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,Good equestrian non-modern candidate.,Add after coordinate rescue,,v23.1.70,
mo-w8-cuivre-river-primitive-equestrian-splits,MO,Cuivre River primitive / equestrian / walk-in components,Lincoln,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Good component split; do not duplicate main park.,Add lead,,v23.1.70,
mo-w8-atlanta-ca-open-camping,MO,Atlanta Conservation Area open camping,Macon,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,Area/rule marker only; not an exact campsite.,Add area/rule candidate,,v23.1.70,
mo-w8-macon-county-park-campground,MO,Macon County Park campground,Macon,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official county,NO HONEST ACTIVE COORDINATE ACCEPTED,"No shower/modern-restroom proof found, so not Modern.",Add after coordinate rescue,,v23.1.70,
mo-w8-thomas-hill-reservoir-ca-primitive,MO,Thomas Hill Reservoir CA primitive campsites,Macon / Randolph,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not use reservoir center or boat ramp.,Add area/rule candidate,,v23.1.70,
mo-v73-mark-twain-usace-ridb-bulk-extraction,MO,Mark Twain Lake USACE campground and primitive components,Mark Twain Lake,coordinate_rescue,Modern / Rustic / Boat-Backpack,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.","Extract Ray Behrens, Indian Creek main, Indian Creek hike-in sites, Frank Russell, John C. Briscoe, and primitive/backcountry components from Recreation.gov/RIDB/USACE park guide.",,v23.1.73,
mo-w8-frank-russell,MO,"Frank Russell Campground, Mark Twain Lake",Monroe / Mark Twain Lake,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official Recreation.gov / USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,"Classified Rustic/Primitive because source exposed vault toilets, not flush/modern restroom proof.",Add after coordinate rescue,,v23.1.70,
mo-w8-indian-creek-hike-in-sites,MO,Indian Creek hike-in primitive sites,Monroe / Mark Twain Lake,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official Recreation.gov / USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not use Indian Creek main campground entrance as exact hike-in site.,Add lead for component split,,v23.1.70,
mo-w8-john-c-briscoe-group-use,MO,John C. Briscoe Group Use Campground,Monroe / Mark Twain Lake,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official Recreation.gov / USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Keep as group campground; not a normal lakewide pin.,Add after coordinate rescue,,v23.1.70,
mo-w8-mark-twain-lake-primitive-backcountry,MO,Mark Twain Lake primitive / backcountry camping opportunities,Monroe / Ralls / Shelby / Mark Twain Lake,area_geometry_extraction,Boat / Backpack,area_geometry_extraction,High,Official USACE / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,"Do not use lake center, dam, boat ramp, or access area as exact campsite.",Add area/rule candidate; extract official site geometry,,v23.1.70,
mo-w8-danville-ca-designated-camping,MO,Danville Conservation Area designated camping,Montgomery,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not use parking lot or CA centroid.,Add area/rule candidate,,v23.1.70,
mo-w8-hidden-hollow-ca-camping,MO,Hidden Hollow Conservation Area camping,Northeast / county verify,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,"Useful lead, but do not import a centroid.",Add area/rule candidate after geometry,,v23.1.70,
mo-lead-usfs-eleven-point-float-camps-coordinate-rescue,MO,Greenbriar / Horseshoe Bend / Barn Hollow Float Camps,Oregon / Eleven Point River,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,USDA / USFS,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not use launches as campground pins,Add lead rows individually during import prep,,v23.1.70,
mo-lead-nps-ozar-backcountry-campgrounds-coordinate-extraction,MO,OZAR backcountry campground system,Ozark NSR,coordinate_rescue,Boat / Backpack or Rustic / Primitive,coordinate_rescue,High,NPS,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not confuse with free gravel-bar camping,Add lead,,v23.1.70,
mo-lead-nps-ozar-developed-campgrounds-coordinate-rescue,MO,"OZAR developed campgrounds: Alley Spring, Big Spring, Pulltite, Two Rivers, Akers",Ozark NSR / Current & Jacks Fork,coordinate_rescue,Modern or Rustic / Primitive pending amenities,coordinate_rescue,High,NPS,NO HONEST ACTIVE COORDINATE ACCEPTED,"Do not use visitor centers, springs, launches, or river accesses as proxy pins",Add durable lead; promote individual records after coordinate rescue,,v23.1.70,
mo-v73-pomme-damsite-coordinate-rescue,MO,Damsite Park Campground,Pomme de Terre Lake / Hickory County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Retrieve RIDB/API coordinate or official map point; do not use dam/project office.,,v23.1.73,
mo-v73-pomme-lightfoot-landing-coordinate-rescue,MO,Lightfoot Landing,Pomme de Terre Lake / Hickory County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Retrieve RIDB/API coordinate or official map point; do not use Lightfoot Shelter as campground coordinate.,,v23.1.73,
mo-v73-pomme-outlet-park-coordinate-rescue,MO,Outlet Park,Pomme de Terre Lake / Hickory County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Retrieve RIDB/API coordinate or official map point; below-dam proxy risk is high.,,v23.1.73,
mo_mdc_crooked_river_ca_primitive_camping_gis,MO,Crooked River Conservation Area primitive camping,Ray,coordinate_rescue,Boondocking / Dispersed or Rustic / Primitive pending GIS,coordinate_rescue,High,,,"MDC says camping only where designated; app/social reports overnight use, but MDC designated camping point was not extracted.",Pull MDC camping-sites dataset or georeference MDC map; do not use CA centroid.,,v23.1.79,
MO-MDC-CROOKED-RIVER-CA-PRIMITIVE-CAMPING-GEOMETRY,MO,Crooked River Conservation Area primitive camping points,Ray County,blocked_geometry_extraction,Rustic / Primitive,official_gis_extraction_blocked,High,Official MDC GIS + official MDC PDF,GEOMETRY BLOCKED / no import-safe coordinate recovered,Official MDC Camping Sites Feature Layer exists; exact feature query extraction not available in Worker 6 session.,Query MDC FeatureServer layer 27 filtered to Crooked River Conservation Area; return geometry outSR=4326 and export GeoJSON/JSON.,,v23.1.82,
mo-w8-rebels-cove-ca-camping,MO,Rebel’s Cove Conservation Area camping,Schuyler / northeast MO,area_geometry_extraction,Boondocking / Dispersed,area_geometry_extraction,High,Official MDC,NO HONEST ACTIVE COORDINATE ACCEPTED,Good non-modern CA candidate.,Add area/rule candidate,,v23.1.70,
mo-v73-stockton-cedar-ridge-coordinate-rescue,MO,Cedar Ridge Campground,Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Pull RIDB/API coordinate or official campground map; do not use lake/project coordinates.,,v23.1.73,
mo-v73-stockton-crabtree-cove-coordinate-rescue,MO,Crabtree Cove Campground,Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Pull RIDB/API or official campground map; do not use Crabtree Cove boat ramp point.,,v23.1.73,
